﻿Assets Type,Path,Tag,Description,bbox_min_meters,bbox_max_meters
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/DeluxeShopDesk_A02_01.usdz,DNA:D_{D}(k),"Functional Features:This object is a multifunctional metal workbench designed for use in industrial, mechanical repair, laboratory, or tool management settings. Its functional features include a flat and sturdy work surface suitable for assembly, maintenance, or measurement tasks. Beneath the tabletop is a lockable drawer for secure storage of tools or components. The perforated back panel allows for the mounting of hooks or tool holders, optimizing vertical space. Additionally, three small compartments above the work surface provide convenient organization for frequently used items. The adjustable legs enhance ergonomic flexibility and adaptability to various work conditions.
Visual Features:Visually, the workbench has a sleek silver-gray appearance, reflecting a modern industrial aesthetic. It is constructed from stainless steel or high-strength metal, with a sandblasted or brushed finish that offers corrosion resistance, durability, and ease of maintenance. The design features clean, angular lines and well-balanced proportions, emphasizing practicality and professionalism. Overall, the workstation integrates multiple functions and supports efficient, organized workflows in demanding environments.","(-0.4575054931640625, -0.4023043441772461, 0.08605753183364868)","(0.4575056076049805, 0.4023043441772461, 1.9143119049072266)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/DeluxeShopDesk_A03_01.usdz,DNA:D_{D}(l),"Functional Features:This object is an integrated metal tool workstation designed for workshops, repair garages, laboratories, and industrial environments, aiming to improve tool organization and operational efficiency. Its functional features include a spacious flat work surface suitable for assembly, repair, and inspection tasks. The perforated pegboard at the back allows flexible hanging of tools, maximizing vertical space, while the upper shelf provides additional storage for frequently used items. Below the work surface are multiple drawers and a cabinet with doors for categorized storage of tools, parts, and supplies. Equipped with caster wheels, the unit is mobile and adaptable to dynamic workspaces.
Visual Features:Visually, the workstation features a modern industrial aesthetic with a combination of dark gray and silver tones. It is constructed from high-strength metal with a powder-coated or anti-rust finish, offering excellent durability and corrosion resistance for frequent use. The design is compact and streamlined, with clean lines and balanced proportions, emphasizing functional integration and space optimization. Its professional and practical appearance makes it a fitting addition to any efficient and organized technical workspace.","(-0.45756710052490235, -0.403591423034668, 0.08605751037597656)","(0.4575670623779297, 0.40359149932861327, 1.9143119049072266)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/MobileShopDesk_A01_Blue_01.usdz,DNA:D_{D}(m),"Functional Features:This object is a lockable mobile metal storage cabinet designed for secure and flexible use in workshops, laboratories, medical facilities, or educational environments. Its functional features include an open top shelf for quick access to frequently used items, with circular cutouts likely intended for cable management or ventilation. The middle section contains a lockable drawer for securing tools, instruments, or documents, while the bottom features a larger lockable compartment suitable for storing bulkier or sensitive items. Four swivel caster wheels provide excellent mobility, allowing the cabinet to be easily repositioned across work areas.
Visual Features:Visually, the cabinet is constructed from bright blue metal, offering a bold and modern appearance that enhances visibility and spatial organization. The surface is treated with a smooth powder coating, providing resistance to rust and wear—ideal for high-use environments. The overall structure is compact and well-proportioned, with clean lines that emphasize both functionality and aesthetic appeal. This cabinet is a practical and professional addition to any efficient and secure workspace.","(-0.30787368774414064, -0.2865346527099609, 0.09504573822021485)","(0.30787368774414064, 0.2865346527099609, 1.1328637313842773)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/PedestalWorkbench_A02_01.usdz,DNA:D_{D}(n),"Functional Features:This object is a double-pedestal office desk designed for use in offices, design studios, academic departments, or administrative environments where document organization and daily work tasks are essential. Its functional features include a spacious wooden tabletop suitable for writing, computer work, or organizing materials. Each side of the desk is equipped with four drawers, offering ample storage for files, stationery, tools, or personal items—enhancing workspace efficiency and tidiness. The structure is sturdy and built for frequent, long-term use, making it a practical and functional piece of office furniture.
Visual Features:Visually, the desk combines a light wood-colored top with gray metal drawer units, creating a soft yet professional contrast that reflects a modern industrial style. The tabletop is likely made of composite wood, polished or laminated for a smooth, easy-to-clean surface. The metal drawer pedestals are finished with a powder coating, providing a refined texture and resistance to rust and wear. Horizontal drawer handles contribute to the clean lines and cohesive appearance. The overall design is rectangular and streamlined, emphasizing functionality and space optimization—well-suited for various professional workspaces.","(-0.7622578430175782, -0.38099998474121094, -7.748603820800782e-09)","(0.7622577667236329, 0.3810000228881836, 0.8606433868408203)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/PedestalWorkbench_A05_01.usdz,DNA:D_{D}(o),"Functional Features:This object is a minimalist and functional office desk, ideal for administrative offices, faculty rooms, reception areas, or home study spaces where document organization and daily work tasks are essential. Its functional features include a spacious flat surface suitable for writing, computer use, or paperwork. The left pedestal contains four drawers for organizing stationery, files, or small office items, while the right pedestal features a lockable cabinet door for storing personal belongings or sensitive documents securely. The structure is sturdy and well-suited for frequent office use.
Visual Features:Visually, the desk is finished in a clean white color, reflecting a modern minimalist aesthetic that complements various office environments. The desktop and storage units are likely made from metal or high-density board, with a coated or laminated surface that offers durability and easy maintenance. The drawers and cabinet door feature recessed handles, contributing to a streamlined and cohesive appearance. The overall design is rectangular and tidy, emphasizing functionality and spatial efficiency—making it a practical and common choice in contemporary workspaces.","(-0.7620603942871094, -0.3737101364135742, -7.748603820800782e-09)","(0.7619659423828126, 0.3737101745605469, 0.8606425476074219)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/PedestalWorkbench_A01_01.usdz,DNA:D_{D}(p),"Functional Features:This object is a straightforward and functional metal desk designed for use in laboratories, workshops, technical offices, or educational environments where a stable work surface and organized storage are essential. Its functional features include a spacious flat tabletop suitable for writing, computer work, equipment placement, or documentation. The left side features four evenly spaced drawers for organizing tools, documents, or small devices, enhancing efficiency and workspace tidiness. The right side is supported by an open metal frame with a horizontal support bar, providing structural stability while allowing legroom for user comfort.
Visual Features:Visually, the desk is constructed from gray-white metal, reflecting a modern industrial aesthetic. The surfaces, including the top and drawer unit, are likely powder-coated for a smooth texture and enhanced resistance to rust and wear—ideal for high-use environments. The drawers have horizontal handles that contribute to the clean, unified appearance. The overall design is rectangular and well-proportioned, emphasizing durability and practicality, making it a common fixture in function-driven workspaces.","(-0.7623814392089844, -0.3737101364135742, -2.6186940080485403e-19)","(0.7626513671875, 0.3737101745605469, 0.8606433868408203)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/ShopDesk_A03_01.usdz,DNA:D_{D}(q),"Functional Features:This object is a compact and fully functional stainless steel storage cabinet designed for use in laboratories, workshops, medical facilities, or other environments requiring cleanliness and security. Its functional features include a flat top surface suitable for placing equipment, tools, or performing light tasks. A raised back section with compartments allows for organized storage of small items or instruments. The middle section features a lockable drawer for secure storage of frequently used items, while the lower double-door cabinet, also lockable, accommodates larger or sensitive materials. The design emphasizes safety, organization, and efficient use of space—ideal for high-frequency work settings.
Visual Features:Visually, the cabinet is constructed from silver-gray stainless steel, embodying a modern industrial aesthetic. The surface is brushed or sandblasted for a refined texture, offering excellent corrosion resistance, durability, and ease of cleaning—especially important in hygiene-sensitive environments. The structure is rectangular and clean-lined, with recessed handles on the drawer and doors that enhance visual coherence and professional appearance. Overall, the cabinet is a practical and reliable fixture for secure and organized workspaces.","(-0.4414582061767578, -0.39666046142578126, 0.0)","(0.4414580535888672, 0.39666046142578126, 1.2191688537597656)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/ShopDesk_A02_01.usdz,DNA:D_{D}(r),"Functional Features:This object is a compact and functional metal workstation designed for use in laboratories, electronics assembly areas, repair workshops, or clean industrial environments. Its functional features include a flat main work surface suitable for precision tasks, equipment placement, or document handling. A raised back panel with a small compartment helps prevent items from falling and offers additional storage. The front includes a lockable drawer for secure storage of tools, instruments, or important documents. A lower open shelf enhances storage capacity and contributes to the bench’s structural stability.
Visual Features:Visually, the workstation is constructed from silver-gray metal, reflecting a modern industrial aesthetic. The surface is likely brushed or sandblasted, providing a refined texture with corrosion resistance and easy maintenance—ideal for hygiene-sensitive environments. The design is clean and straightforward, with crisp lines that emphasize functionality and efficient space use. Its professional and tidy appearance makes it a suitable fixture in any organized, high-performance workspace.","(-0.4414582061767578, -0.39574981689453126, 0.0)","(0.4414580535888672, 0.39574981689453126, 1.0496603393554689)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/model_console_0.usdz,DNA:D_{D}(s),"Functional Features:This object is an industrial-grade station workbench with a light stand. Its core function is to provide a standardized operating platform for production operations. The limit slots on the front and rear of the table can neatly store tools, materials and spare parts. The upper light stand can be equipped with lighting fixtures, and the reserved installation positions on the back panel can be used to post operation instructions, install tool hanging boards and electrical sockets. It supports modular splicing of assembly lines, effectively standardizing operation processes and improving production efficiency. It is widely used in scenarios including 3C electronic assembly workshops, electrical product production lines, laboratory testing stations, hardware maintenance work areas, and warehousing sorting and packaging, featuring a stable structure, strong scalability and wide adaptability. 
Visual Features:Visually, it has a long strip frame structure with full matte white color, a flat operating table with regular limit slots, an integrated upper light stand and back panel, and a bottom square tube bracket with transverse reinforcing connecting rods. It is made of high-strength cold-rolled steel sheet metal with matte anti-static spraying on the surface, presenting a concise and regular shape with sharp lines and distinct industrial attributes. The black grid background of 3D modeling highlights its digital asset attribute.","(-1.6566849157832857, -0.675077840412265, -8.358637032559069e-05)","(1.4879845290959772, 0.672623246225065, 1.948347776669251)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/model_desk007.usdz,DNA:D_{D}(t),"Functional Features:This object is a double face-to-face screen office workstation. Its core function is to provide office staff with a standardized office space that balances privacy and openness. The middle screen partition can effectively block sight and reduce office interference. The curved table top is ergonomically designed to improve the comfort of sedentary office work. The matched closed storage cabinet can neatly store documents and office supplies, and the side shelf can expand storage space, adapting to core needs such as computer operation, document processing and daily office work. It is widely used in scenarios including corporate open office areas, office building staff areas, startup parks, and administrative office places, featuring high space utilization, strong storage capacity, modular combination and convenient installation.
Visual Features: Visually, it has a symmetrical double face-to-face structure. The table top adopts a dark gray marble-like matte panel, matched with a log-colored screen back panel, white storage cabinets and shelves, supported by a black metal steel frame. The main body is made of environmentally friendly density board and metal, with wear-resistant matte veneer treatment on the surface. It has a simple and modern shape with sharp lines, and the black grid background of 3D modeling highlights its digital asset attribute.","(-1.9575999975204468, -1.0753999994695187, -7.92e-05)","(1.9654439991888994, 0.9604000663757324, 1.2942999601364136)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/model_desk008.usdz,DNA:D_{D}(u),"Functional Features:This object is an integrated office workbench with modern minimalist style. Its core function is to provide a stable operating space for office work, learning and light creation. The wide and flat table top can accommodate office equipment such as computers, documents and tools. The integrated three-drawer storage cabinet on the left can neatly store office supplies, documents and stationery, realizing the integration of operation and storage. The asymmetric support structure reserves sufficient leg movement space to improve the comfort of sedentary use. It is widely used in scenarios including home study, independent offices, design studios, maker spaces and small business office areas, featuring strong storage capacity, high space utilization and versatile shape.
Visual Features: Visually, it adopts an asymmetric design as a whole, with a light log-colored matte table top matched with a pure white cabinet and support structure, decorated with black embedded drawer handles, and the right support leg has a geometric hollow shape. The main body is made of environmentally friendly board with wear-resistant matte veneer treatment on the surface, with soft and smooth lines and a simple and grand style. The black grid background of 3D modeling highlights its digital asset attribute.","(-0.9800384723434449, -0.44928319955296514, 7e-07)","(0.9892614997138977, 0.5094454921798706, 0.6548687)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/model_desk009.usdz,DNA:D_{D}(v),"Functional Features:This object is an integrated executive desk with modern business style. Its core function is to provide managers with an independent office space integrating office work, negotiation and storage. The wide, flat and extra-long table top can hold multiple office equipment and documents, meeting the core needs of daily office work, business negotiation and document signing. The integrated side cabinet with closed storage space can neatly store office supplies and confidential documents, balancing the openness and privacy of office work. The asymmetric structure reserves sufficient leg movement space to improve the comfort of sedentary office work. It is widely used in scenarios such as corporate executive offices, manager rooms, business reception rooms and design firms, featuring strong business attributes, excellent storage performance and high space adaptability. 
Visual Features: Visually, it adopts an asymmetric design, with a matte black table top matched with a black-and-white color-blocked floor cabinet, decorated with white cabinet doors and bright edge lines. The left tapered support leg and the right side cabinet form a stable support. The main body is made of high-density environmentally friendly board with wear-resistant matte skin-feel spraying on the surface, with sharp and simple lines, a calm and grand style, and distinct business texture. The black grid background of 3D modeling highlights its digital asset attribute.","(-1.8975000381469727, -0.6995000243186951, -7.000125169756566e-06)","(1.7649999856948853, 1.5607000589370728, 0.9296666)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/model_desk010.usdz,DNA:D_{D}(w),"Functional Features:This object is a modern minimalist symmetrical office workbench. Its core function is to provide a stable operating space for office work, learning and light creation. The wide and flat table top can accommodate office equipment such as computers and documents. The drawer-type side cabinets on the left and right sides can realize closed storage, neatly storing office supplies, documents and stationery. The symmetrical stable structure reserves sufficient leg movement space to improve the comfort of sedentary use. It is widely used in scenarios including home study, staff office areas, design studios and maker spaces, featuring strong storage capacity, stable structure and versatile style.
Visual Features: Visually, it adopts a classic black-and-white color contrast design, with a dark black wood-like matte table top matched with pure white drawer panels, decorated with black embedded handles, and low-center-of-gravity support feet at the bottom. The main body is made of environmentally friendly high-density board with wear-resistant matte veneer treatment on the surface, with neat and sharp lines and a calm and simple style. The black grid background of 3D modeling highlights its digital asset attribute.","(-1.0168999433517456, -1.060018408201599, 0.0017999999690800905)","(1.2942506054836274, 0.7892816186920166, 0.7705149)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/model_desk011.usdz,DNA:D_{D}(x),"Functional Features:This object is an L-shaped corner business office workbench. Its core function is to maximize space utilization through the corner structure. The wide main tabletop meets core needs such as daily office work, document processing and computer operation, while the extended auxiliary table supports temporary negotiation, data placement and equipment expansion. The integrated closed side cabinet neatly stores office supplies and documents, balancing the practicality and privacy of office work. The L-shaped layout reserves sufficient legroom to improve the comfort of sedentary office work. It is widely used in scenarios including corporate manager rooms, executive independent offices, design studios and home corner study rooms, featuring high space utilization, excellent storage performance and flexible layout.
Visual Features: Visually, it adopts a classic black-and-white color contrast design, with a dark black matte wood-grain tabletop matched with pure white closed cabinet doors, and a low-center-of-gravity floor-standing support structure, with neat and simple lines and a calm and grand style. The main body is made of environmentally friendly high-density board with wear-resistant matte veneer treatment, with distinct business texture. The black grid background of 3D modeling highlights its digital asset attribute.","(-1.0168999433517456, -1.059999942779541, 0.0017999999690800905)","(1.2942999601364136, 0.7893000245094299, 0.7705149)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/model_desk012.usdz,DNA:D_{D}(y),"Functional Features:This object is an integrated business executive desk with modern log style. Its core function is to provide a multi-functional space integrating office work, storage and negotiation. The wide tabletop has clear functional zoning: the black non-slip operation area in the middle fits computer office work and document processing, the double-drawer closed side cabinet on the right can neatly store stationery and confidential documents, and the extended side cabinet on the left combines closed doors and open shelves to balance private storage and quick access to daily items. The asymmetric layout reserves sufficient legroom to improve the comfort of sedentary office work. It is widely used in scenarios including corporate manager rooms, executive independent offices, design studios and high-end home study rooms, featuring strong layered storage, clear functional zoning and high space utilization. 
Visual Features: Visually, it is dominated by light log-colored matte wood grain panels, decorated with pure white cabinet doors, black embedded handles and operation area for color contrast. The asymmetric integrated structure has smooth and natural lines, with a warm, simple style and business texture. The main body is made of eco-friendly high-density board with wear-resistant matte wood grain veneer, and the black grid background of 3D modeling highlights its digital asset attribute.","(-1.7600128467849732, -0.859000027179718, 0.013000000268220901)","(1.463787097138977, 0.835879122315979, 0.7778669)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/model_desk013.usdz,DNA:D_{D}(z),"Functional Features:This object is a modern minimalist double face-to-face screen office workstation. Its core function is to provide two office workers with a standardized office space balancing privacy and collaboration. The log-colored screen in the middle blocks sight and reduces office interference. The wide matte tabletop adapts to computer operation and document processing. Each station is equipped with an independent drawer storage cabinet for neat storage of office supplies, and the open metal bracket reserves sufficient legroom to improve sedentary comfort. It is widely used in corporate open office areas, co-working spaces, startup parks and other scenarios, featuring high space utilization, strong storage capacity and modular combination. 
Visual Features: Visually, it adopts a color contrast design of white, log color and black, with a matte white tabletop matched with a log-colored screen and storage cabinet, supported by a black U-shaped metal steel frame. The main body is made of eco-friendly density board and cold-rolled steel with wear-resistant matte treatment, with neat lines and a fresh modern style. The black grid background of 3D modeling highlights its digital asset attribute.","(-0.7175851105857849, -0.7539485733924866, 0.0009193)","(0.723514791941452, 0.7291514236511231, 0.871637)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/model_desk014.usdz,DNA:D_{D}(aa),"Functional Features:This object is a modern business-style double face-to-face screen office workstation. Its core function is to provide two office workers with a standardized space balancing independent work and collaborative cooperation. The detachable screen in the middle can effectively block sight lines and reduce interference between workstations, and the wide, flat matte tabletop meets daily office needs such as computer operation and document processing. The symmetrical double cabinets combine open shelves and closed doors, balancing quick access to daily items and storage of confidential documents, while reserving sufficient legroom to improve the comfort of sedentary office work. It is widely used in scenarios including corporate open office areas, co-working spaces, startup parks and office building staff zones, featuring high space utilization, excellent storage performance, stable structure and strong modular adaptability.
Visual Features: Visually, it adopts a classic black-and-white color contrast design, with a matte black tabletop and cabinet body matched with pure white screen and cabinet doors. The symmetrical square structure has neat and simple lines, a calm and grand style with distinct business attributes. The main body is made of eco-friendly high-density board with wear-resistant matte veneer treatment, and the black grid background of 3D modeling highlights its digital asset attribute.","(-0.7154037713897705, -0.7766774997764826, -0.0040283997764825824)","(0.6822232276565552, 0.815624060899353, 1.0095000267028809)"
